case,number,f_73,f_59,f_25,f_120,f_55,f_178,f_179,f_81,f_17,f_47
Case001-1,175282,0.1485440135002136,0.2425984442234039,0.1386376023292541,0.0518178008496761,0.1537280976772308,0.2182609587907791,5.321979523742471e-10,0.0207407400012016,0.2095965594053268,0.1753905117511749
Case001-1,175323,0.2819050550460815,0.308978796005249,0.3239461481571197,0.3230877816677093,0.3517414033412933,0.2444696873426437,0.4221140444278717,0.3525103628635406,0.3446716368198395,0.21208256483078
Case001-1,175352,0.4068028330802917,0.425764262676239,0.4734938740730285,0.4255963265895843,0.3896613419055938,0.445404976606369,0.5798732042312622,0.4861163794994354,0.4178867042064667,0.3392951488494873
Case001-1,175356,0.5689353346824646,0.7991988658905029,0.7278668880462646,0.6242754459381104,0.5949165225028992,0.7106454968452454,0.9172940254211426,0.8481625318527222,0.6272185444831848,0.4844588041305542
Case001-1,175374,0.7193294763565063,0.7293819785118103,0.6203277707099915,0.6621738076210022,0.5164687037467957,0.6776333451271057,0.772378146648407,0.7441044449806213,0.7263997793197632,0.5378381013870239
Case001-1,175397,0.5757891535758972,0.4831660687923431,0.4796020686626434,0.5390220284461975,0.4250800013542175,0.4926833212375641,0.7161698341369629,0.6206470131874084,0.5102764368057251,0.4033909142017364
Case001-1,175422,0.6426287889480591,0.6418575644493103,0.4480713903903961,0.8091328740119934,0.7055280208587646,0.7792870998382568,0.7051963210105896,0.7910966277122498,0.744473934173584,0.65056973695755
Case001-1,175432,0.6677706241607666,0.6649742722511292,0.5905076265335083,0.7476730346679688,0.6950482726097107,0.6732121706008911,0.710303544998169,0.7476194500923157,0.6878819465637207,0.6274294257164001
Case001-1,175445,0.6739027500152588,0.6602557897567749,0.5923437476158142,0.7853507399559021,0.7073161602020264,0.7214288115501404,0.6647694110870361,0.7798296213150024,0.6848945021629333,0.6148517727851868
Case001-1,175477,0.7801914215087891,0.6453110575675964,0.745678722858429,0.7321321368217468,0.6583541035652161,0.6483346819877625,0.8126514554023743,0.8703240156173706,0.7296276688575745,0.6088610887527466
Case001-1,175493,0.4968563020229339,0.4407865107059479,0.5668142437934875,0.5830594301223755,0.5116243958473206,0.4714102447032928,0.6531791687011719,0.6690370440483093,0.5693334341049194,0.4194829761981964
Case001-1,175565,0.7081224918365479,0.6876763105392456,0.6990607976913452,0.6751969456672668,0.767707884311676,0.6767874956130981,0.8155949711799622,0.8091777563095093,0.6733644604682922,0.6369696259498596
Case001-1,175577,0.7020424008369446,0.6415882706642151,0.6778412461280823,0.7075543999671936,0.725041925907135,0.6201167702674866,0.9003016352653503,0.7329398393630981,0.6748488545417786,0.5793226361274719
Case001-1,175595,0.5785784721374512,0.6468687653541565,0.6343962550163269,0.6513463258743286,0.7172338366508484,0.6056900024414062,0.8096754550933838,0.875035285949707,0.6295577883720398,0.5565412640571594
